Statement,Sentiment
This is good!,1
Awesome!,1
Not good,0
I hate this!,0
Good work,1
This is bad,0
Could have been better,0
Couldn't have been better,1
It's okay,2
Its okay,2
Okay I guess,2
Utterly disappointing,0
Good job,1
Horrible,0
This website is well made,1
This looks like AI written all-over it,0
I don't like this website,0
I guess it's okay,2
I really hope to make something like this,1
This is an inspiration,1
Impressive,1
Not Impressive,0
Not bad,2
Heresy,0
Great work,1
This is terrible,0
It’s fine,2
Excellent job,1
Very disappointing,0
Nothing special,2
Very impressive,1
I dislike this,0
Average experience,2
I love this,1
Poorly done,0
It works,2
This is fantastic,1
This does not work,0
No strong feelings,2
Well done,1
I regret trying this,0
This is okay,2
Absolutely amazing,1
Awful experience,0
Acceptable result,2
Brilliant execution,1
This failed badly,0
Mediocre,2
Highly recommended,1
Extremely frustrating,0
Neither good nor bad,2
This exceeded my expectations,1
Low quality,0
It does the job,2
Really well built,1
Not worth the time,0
So-so,2
Superb quality,1
This is broken,0
Fair enough,2
This works perfectly,1
Unacceptable,0
Could go either way,2
I’m very satisfied,1
This makes no sense,0
This is decent,2
Top notch,1
Very bad implementation,0
Neutral about this,2
Outstanding result,1
Sloppy work,0
I’m indifferent,2
Clean and elegant,1
I’m unhappy with this,0
It’s passable,2
Nicely done,1
Completely useless,0
Not remarkable,2
This is wonderful,1
This is annoying,0
Standard outcome,2
I’m impressed,1
Major letdown,0
Just okay,2
Great work,1
This is terrible,0
It’s fine,2
Excellent job,1
Very disappointing,0
Nothing special,2
Very impressive,1
I dislike this,0
Average experience,2
I love this,1
Poorly done,0
It works,2
This is fantastic,1
This does not work,0
No strong feelings,2
Well done,1
I regret trying this,0
This is okay,2
Absolutely amazing,1
Awful experience,0
Acceptable result,2
Brilliant execution,1
This failed badly,0
Mediocre,2
Highly recommended,1
Extremely frustrating,0
Neither good nor bad,2
This exceeded my expectations,1
Low quality,0
It does the job,2
Really well built,1
Not worth the time,0
So-so,2
Superb quality,1
This is broken,0
Fair enough,2
This works perfectly,1
Unacceptable,0
Could go either way,2
I’m very satisfied,1
This makes no sense,0
This is decent,2
Top notch,1
Very bad implementation,0
Neutral about this,2
Outstanding result,1
Sloppy work,0
I’m indifferent,2
Clean and elegant,1
I’m unhappy with this,0
It’s passable,2
Nicely done,1
Completely useless,0
Not remarkable,2
This is wonderful,1
This is annoying,0
Standard outcome,2
I’m impressed,1
Major letdown,0
Just okay,2
Great work,1
This is terrible,0
It’s fine,2
Excellent job,1
Very disappointing,0
Nothing special,2
Very impressive,1
I dislike this,0
Average experience,2
I love this,1
Poorly done,0
It works,2
This is fantastic,1
This does not work,0
No strong feelings,2
Well done,1
I regret trying this,0
This is okay,2
Absolutely amazing,1
Awful experience,0
Acceptable result,2
Brilliant execution,1
This failed badly,0
Mediocre,2
Highly recommended,1
Extremely frustrating,0
Neither good nor bad,2
This exceeded my expectations,1
Low quality,0
It does the job,2
Really well built,1
Not worth the time,0
So-so,2
Superb quality,1
This is broken,0
Fair enough,2
This works perfectly,1
Unacceptable,0
Could go either way,2
I’m very satisfied,1
This makes no sense,0
This is decent,2
Top notch,1
Very bad implementation,0
Neutral about this,2
Outstanding result,1
Sloppy work,0
I’m indifferent,2
Clean and elegant,1
I’m unhappy with this,0
It’s passable,2
Nicely done,1
Completely useless,0
Not remarkable,2
This is wonderful,1
This is annoying,0
Standard outcome,2
I’m impressed,1
Major letdown,0
Just okay,2
Great work,1
This is terrible,0
It’s fine,2
Excellent job,1
Very disappointing,0
Nothing special,2
Very impressive,1
I dislike this,0
Average experience,2
I love this,1
Poorly done,0
It works,2
This is fantastic,1
This does not work,0
No strong feelings,2
Well done,1
I regret trying this,0
This is okay,2
Absolutely amazing,1
Awful experience,0
Acceptable result,2
Brilliant execution,1
This failed badly,0
Mediocre,2
Highly recommended,1
Extremely frustrating,0
Neither good nor bad,2
This exceeded my expectations,1
Low quality,0
It does the job,2
Really well built,1
Not worth the time,0
So-so,2
Superb quality,1
This is broken,0
Fair enough,2
This works perfectly,1
Unacceptable,0
Could go either way,2
I’m very satisfied,1
This makes no sense,0
This is decent,2
Top notch,1
Very bad implementation,0
Neutral about this,2
Outstanding result,1
Sloppy work,0
I’m indifferent,2
Clean and elegant,1
I’m unhappy with this,0
It’s passable,2
Nicely done,1
Completely useless,0
Not remarkable,2
This is wonderful,1
This is annoying,0
Standard outcome,2
I’m impressed,1
Major letdown,0
Just okay,2
Great work,1
This is terrible,0
It’s fine,2
Excellent job,1
Very disappointing,0
Nothing special,2
Very impressive,1
I dislike this,0
Average experience,2
I love this,1
Poorly done,0
It works,2
This is fantastic,1
This does not work,0
No strong feelings,2
Well done,1
I regret trying this,0
This is okay,2
Absolutely amazing,1
Awful experience,0
Acceptable result,2
Brilliant execution,1
This failed badly,0
Mediocre,2
Highly recommended,1
Extremely frustrating,0
Neither good nor bad,2
This exceeded my expectations,1
Low quality,0
It does the job,2
Really well built,1
Not worth the time,0
So-so,2
Superb quality,1
This is broken,0
Fair enough,2
This works perfectly,1
Unacceptable,0
Could go either way,2
I’m very satisfied,1
This makes no sense,0
This is decent,2
Top notch,1
Very bad implementation,0
Neutral about this,2
Outstanding result,1
Sloppy work,0
I’m indifferent,2
Clean and elegant,1
I’m unhappy with this,0
It’s passable,2
Nicely done,1
Completely useless,0
Not remarkable,2
This is wonderful,1
This is annoying,0
Standard outcome,2
I’m impressed,1
Major letdown,0
Just okay,2
I hate cats,
